Name    Student Card    Academic Card
Francis Pope    yok    6521
Carolyn Berry    yok    6522
Rebecca Cannon    yok    6523
Anna Ramsey    yok    6524
Jamie Frazier    1525    6525
Gilberto Boyd    yok    6526
Veronica Ortiz    yok    6527
Roland Summers    1528    6528
Irving Blake    1529    6529
Jerome Barton    yok    6530
Jordan Hogan    yok    6531
Myra Medina    yok    6532
Essie Watts    yok    6533
Victoria Flowers    yok    6534
Don Ortega    yok    6535
Rosa Newman    yok    6536
Timmy Mendez    1537    6537
Marcos Collier    yok    6538
Archie Burke    1539    6539
Brent Campbell    1540    6540
Zachary Walters    yok    6541
Alexandra Glover    yok    6542
Glen Abbott    1543    6543
Eduardo Daniel    yok    6544
Jennie Graham    1545    6545
Dana Sandoval    yok    6546
Jody Graves    yok    6547
Holly Mckinney    yok    6548
Patti Fowler    yok    6549
Rose Green    yok    6550
Lena Bailey    yok    6551
Frank Johnson    yok    6552
Virgil Fernandez    yok    6553
Gloria Hunt    yok    6554
Maria Swanson    yok    6555
Karl Alvarez    1556    6556
Rex Jordan    yok    6557
Clark Thomas    yok    6558
Shannon West    yok    6559
Howard Hoffman    yok    6560
Kevin Moran    yok    6561
Brendan Neal    yok    6562
Heidi Steele    yok    6563
Morris Lyons    yok    6564
Natasha Joseph    1565    6565
Lillian Rose    1566    6566
Santos Garcia    yok    6567
Manuel Parker    yok    6568
Cassandra Simon    yok    6569
Pedro Holland    yok    6570
Nellie Beck    yok    6571
Elaine Klein    1572    6572
Rosalie Nichols    yok    6573
Carol Owens    1574    6574
Rosie Roberts    yok    6575
Kelli Rice    yok    6576
Guy Estrada    yok    6577
Duane Shelton    yok    6578
Ramon Mcdonald    yok    6579
Connie Holloway    1580    6580
Lynne Park    yok    6581
Marta Mann    yok    6582
Stuart Kelly    yok    6583
Deborah Brock    1584    6584
Johanna Rowe    1585    6585
Kurt Higgins    yok    6586
Norma Zimmerman    yok    6587
Dianne Sherman    1588    6588
Barry Moore    1589    6589
Joanna Elliott    yok    6590
Leonard Floyd    yok    6591
Roxanne Parks    yok    6592
Dominic Walsh    yok    6593
Renee Hanson    yok    6594
Angelo Parsons    1595    6595
Olga Vargas    yok    6596
Ebony Bridges    yok    6597
Dave Barnes    1598    6598
Lula Williamson    yok    6599
Amanda Bennett    yok    6600
Adrienne Perkins    yok    6601
Darla Bass    yok    6602
Ramiro Ballard    1603    6603
Violet Kennedy    yok    6604
Vivian Caldwell    yok    6605
Candice Clayton    yok    6606
Elizabeth Hubbard    yok    6607
Terence Price    1608    6608
Casey Marsh    yok    6609
Cesar Jones    yok    6610
Alice Gardner    yok    6611
Miranda Lamb    yok    6612
Corey Carter    1613    6613
Kathy Ryan    yok    6614
Willie Wallace    1615    6615
Mario Howell    yok    6616
Loren Lucas    yok    6617
Terrence Gonzales    yok    6618
Madeline Sanchez    yok    6619
Javier Dawson    yok    6620
Crystal Sullivan    1621    6621
Ben Hall    yok    6622
Jay Snyder    yok    6623
Robyn Powers    yok    6624
Edna Christensen    yok    6625
Leona Schneider    yok    6626
Alexander Graves    yok    6627
Dewey Burgess    1628    6628
Willis Harvey    yok    6629
Jose Ramos    yok    6630
Peggy Benson    1631    6631
Angelina Glover    yok    6632
Alan Hogan    yok    6633
Elijah Potter    yok    6634
Ginger Carroll    yok    6635
Lester Soto    yok    6636
Max Reeves    yok    6637
Jo Valdez    yok    6638
Steven Barker    yok    6639
Robin Walton    yok    6640
Carolyn Santos    1641    6641
Patsy Martinez    yok    6642
Lula Richardson    yok    6643
Lorenzo Hines    yok    6644
Rosemary Saunders    yok    6645
Carlos Poole    yok    6646
Lynne Singleton    yok    6647
Kathy Wright    yok    6648
Boyd Shelton    yok    6649
Edith Keller    yok    6650
Edgar Lopez    yok    6651
Warren Rodgers    yok    6652
Elvira Vasquez    1653    6653
Irma Mckenzie    yok    6654
Violet Blake    yok    6655
Travis Murphy    yok    6656
Erma Rhodes    yok    6657
Alex Fields    yok    6658
Bertha Woods    yok    6659
Jenna Ward    yok    6660
Molly Stokes    1661    6661
Douglas Summers    yok    6662
Albert Wilkins    yok    6663
Ricky Watts    yok    6664
Kara Rodriguez    yok    6665
Byron Mason    1666    6666
Estelle Peters    yok    6667
